screen_id,route_path,route_name,page_widget,page_file,layout_pattern,vpc_files,vpc_owner_file,declared_tier,suggested_tier,tier_status,l1_status,l2_status,l3_status,notes
AppRouteNames.sc084RegulatoryDisclosures,AppRoutePaths.tradeCopyRegulatoryDisclosures,AppRouteNames.sc084RegulatoryDisclosures,RegulatoryDisclosuresPage,flutter_app/lib/features/trade_compliance/presentation/pages/disclosures/regulatory_disclosures_page.dart,direct_vpc,features/trade_compliance/presentation/pages/disclosures/regulatory_disclosures_page.dart;features/trade_compliance/presentation/widgets/disclosures/regulatory_disclosures_actions.dart;features/trade_compliance/presentation/widgets/disclosures/regulatory_disclosures_cards.dart;features/trade_compliance/presentation/widgets/disclosures/regulatory_disclosures_common.dart;features/trade_compliance/presentation/widgets/disclosures/regulatory_disclosures_hero_tabs.dart;features/trade_compliance/presentation/widgets/disclosures/regulatory_disclosures_tabs.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/disclosures/regulatory_disclosures_page.dart,standard,standard|compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc116RegulatoryInspectionReady,AppRoutePaths.tradeCopyRegulatoryInspectionReady,AppRouteNames.sc116RegulatoryInspectionReady,RegulatoryInspectionReadyPage,flutter_app/lib/features/trade_compliance/presentation/pages/governance/regulatory_inspection_ready_page.dart,shared_shell,features/trade_compliance/presentation/pages/governance/regulatory_inspection_ready_page.dart;features/trade_compliance/presentation/widgets/governance/regulatory_inspection_ready_page_common.dart;features/trade_compliance/presentation/widgets/governance/regulatory_inspection_ready_page_sections.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/governance/regulatory_inspection_ready_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc094RegulatoryReportsDashboard,AppRoutePaths.tradeCopyRegulatoryReportsDashboard,AppRouteNames.sc094RegulatoryReportsDashboard,RegulatoryReportsDashboardPage,flutter_app/lib/features/trade_compliance/presentation/pages/hub/regulatory_reports_dashboard_page.dart,direct_vpc,features/trade_compliance/presentation/pages/hub/regulatory_reports_dashboard_page.dart;features/trade_compliance/presentation/widgets/hub/regulatory_reports_dashboard_controls.dart;features/trade_compliance/presentation/widgets/hub/regulatory_reports_dashboard_exports.dart;features/trade_compliance/presentation/widgets/hub/regulatory_reports_dashboard_kpis.dart;features/trade_compliance/presentation/widgets/hub/regulatory_reports_dashboard_overview.dart;features/trade_compliance/presentation/widgets/hub/regulatory_reports_dashboard_painters.dart;features/trade_compliance/presentation/widgets/hub/regulatory_reports_dashboard_queue_compliance.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/hub/regulatory_reports_dashboard_page.dart,standard,standard|compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc078PortfolioRiskAnalysis,AppRoutePaths.tradeCopyRiskAnalysis,AppRouteNames.sc078PortfolioRiskAnalysis,PortfolioRiskAnalysisPage,flutter_app/lib/features/trade_copy/presentation/pages/analytics/portfolio_risk_analysis_page.dart,shared_shell,features/trade_copy/presentation/pages/analytics/portfolio_risk_analysis_page.dart;features/trade_copy/presentation/widgets/analytics/portfolio_risk_analysis_page_common.dart;features/trade_copy/presentation/widgets/analytics/portfolio_risk_analysis_page_sections.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_copy/presentation/pages/analytics/portfolio_risk_analysis_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc110RiskIndicatorExplainer,AppRoutePaths.tradeCopyRiskIndicatorExplainer,AppRouteNames.sc110RiskIndicatorExplainer,RiskIndicatorExplainerPage,flutter_app/lib/features/trade_compliance/presentation/pages/disclosures/risk_indicator_explainer_page.dart,direct_vpc,features/trade_compliance/presentation/pages/disclosures/risk_indicator_explainer_page.dart;features/trade_compliance/presentation/widgets/disclosures/risk_indicator_details_common.dart;features/trade_compliance/presentation/widgets/disclosures/risk_indicator_scale_intro.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/disclosures/risk_indicator_explainer_page.dart,standard,standard|compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc106RiyCalculator,AppRoutePaths.tradeCopyRiyCalculator,AppRouteNames.sc106RiyCalculator,RIYCalculatorPage,flutter_app/lib/features/trade_compliance/presentation/pages/disclosures/riy_calculator_page.dart,shared_shell,features/trade_compliance/presentation/pages/disclosures/riy_calculator_page.dart;features/trade_compliance/presentation/widgets/disclosures/riy_calculator_page_common.dart;features/trade_compliance/presentation/widgets/disclosures/riy_calculator_page_sections.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/disclosures/riy_calculator_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc080SafetyEducation,AppRoutePaths.tradeCopySafety,AppRouteNames.sc080SafetyEducation,SafetyEducationPage,flutter_app/lib/features/trade_copy/presentation/pages/safety/safety_education_page.dart,direct_vpc,features/trade_copy/presentation/pages/safety/safety_education_page.dart;features/trade_copy/presentation/widgets/safety/safety_education_page_common.dart;features/trade_copy/presentation/widgets/safety/safety_education_page_sections.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_copy/presentation/pages/safety/safety_education_page.dart,standard,standard|compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc083CopySafetyCenter,AppRoutePaths.tradeCopySafetyCenter,AppRouteNames.sc083CopySafetyCenter,CopySafetyCenterPage,flutter_app/lib/features/trade_copy/presentation/pages/safety/copy_safety_center_page.dart,shared_shell,features/trade_copy/presentation/pages/safety/copy_safety_center_page.dart;features/trade_copy/presentation/widgets/safety/copy_safety_enforcement_common.dart;features/trade_copy/presentation/widgets/safety/copy_safety_metrics_tools.dart;features/trade_copy/presentation/widgets/safety/copy_safety_overview.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_copy/presentation/pages/safety/copy_safety_center_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc067CopySettings,AppRoutePaths.tradeCopySettings,AppRouteNames.sc067CopySettings,CopySettingsPage,flutter_app/lib/features/trade_copy/presentation/pages/hub/copy_settings_page.dart,shared_shell,features/trade_copy/presentation/pages/hub/copy_settings_page.dart;features/trade_copy/presentation/widgets/hub/copy_settings_contacts_privacy.dart;features/trade_copy/presentation/widgets/hub/copy_settings_controls.dart;features/trade_copy/presentation/widgets/hub/copy_settings_modes.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_copy/presentation/pages/hub/copy_settings_page.dart,standard,standard,aligned,pass,pass,pass,compliant
AppRouteNames.sc098SlippageMonitoring,AppRoutePaths.tradeCopySlippageMonitoring,AppRouteNames.sc098SlippageMonitoring,SlippageMonitoringPage,flutter_app/lib/features/trade_compliance/presentation/pages/execution/slippage_monitoring_page.dart,direct_vpc,features/trade_compliance/presentation/pages/execution/slippage_monitoring_page.dart;features/trade_compliance/presentation/widgets/execution/slippage_monitoring_common.dart;features/trade_compliance/presentation/widgets/execution/slippage_monitoring_events.dart;features/trade_compliance/presentation/widgets/execution/slippage_monitoring_overview.dart;features/trade_compliance/presentation/widgets/execution/slippage_monitoring_tabs.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/execution/slippage_monitoring_page.dart,standard,standard|compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc101TargetMarketDefinition,AppRoutePaths.tradeCopyTargetMarketDefinition,AppRouteNames.sc101TargetMarketDefinition,TargetMarketDefinitionPage,flutter_app/lib/features/trade_compliance/presentation/pages/governance/target_market_definition_page.dart,shared_shell,features/trade_compliance/presentation/pages/governance/target_market_definition_page.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/governance/target_market_definition_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc063CopyTrading,AppRoutePaths.tradeCopyTrading,AppRouteNames.sc063CopyTrading,CopyTradingPage,flutter_app/lib/features/trade_copy/presentation/pages/hub/copy_trading_page.dart,shared_shell,features/trade_copy/presentation/pages/hub/copy_trading_page.dart;features/trade_copy/presentation/widgets/hub/copy_trading_hero.dart;features/trade_copy/presentation/widgets/hub/copy_trading_metrics_common.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_copy/presentation/pages/hub/copy_trading_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc093TransactionReporting,AppRoutePaths.tradeCopyTransactionReporting,AppRouteNames.sc093TransactionReporting,TransactionReportingPage,flutter_app/lib/features/trade_compliance/presentation/pages/governance/transaction_reporting_page.dart,shared_shell,features/trade_compliance/presentation/pages/governance/transaction_reporting_page.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/governance/transaction_reporting_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc061ExecutionQuality,AppRoutePaths.tradeExecutionQuality,AppRouteNames.sc061ExecutionQuality,_tabletTradeTerminalRoute,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,direct_vpc,shared/layout/vit_tablet_utility_page.dart,shared/layout/vit_tablet_utility_page.dart,form,standard,exception,pass,pass,pass,compliant
AppRouteNames.sc054TradeHistoryExport,AppRoutePaths.tradeExport,AppRouteNames.sc054TradeHistoryExport,switch,flutter_app/lib/features/trade/presentation/tablet/pages/trade_tablet_utility_page.dart,shared_shell,features/trade/presentation/tablet/pages/trade_tablet_utility_page.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade/presentation/tablet/pages/trade_tablet_utility_page.dart,standard,standard,aligned,pass,pass,pass,compliant
AppRouteNames.sc085MarginTrading,AppRoutePaths.tradeMargin,AppRouteNames.sc085MarginTrading,switch,flutter_app/lib/features/trade/presentation/tablet/pages/trade_tablet_utility_page.dart,shared_shell,features/trade/presentation/tablet/pages/trade_tablet_utility_page.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade/presentation/tablet/pages/trade_tablet_utility_page.dart,standard,standard,aligned,pass,pass,pass,compliant
