module,source_file,line,source_unit,trigger_hint,kind,target_expression,normalized_target,target_screen,notes
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_safety_center_page.dart,204,arena_safety_center_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_safety_center_page.dart,192,arena_safety_center_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_safety_center_page.dart,201,arena_safety_center_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_trust_breakdown_page.dart,137,arena_trust_breakdown_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_trust_breakdown_page.dart,302,arena_trust_breakdown_page.dart,,context.go,AppRoutePaths.arenaCreator(creator.id),/arena/creator/<creator.id>,ArenaCreatorPage (/arena/creator/:creatorId),
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_trust_breakdown_page.dart,365,arena_trust_breakdown_page.dart,,context.go,AppRoutePaths.arenaSafety,/arena/safety,ArenaSafetyCenterPage (/arena/safety),
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_trust_breakdown_page.dart,134,arena_trust_breakdown_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/governance/my_arena_reports_page.dart,185,my_arena_reports_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/governance/my_arena_reports_page.dart,182,my_arena_reports_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_flow_map_page.dart,210,arena_flow_map_page.dart,,context.go,route,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_flow_map_page.dart,219,arena_flow_map_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_flow_map_page.dart,216,arena_flow_map_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,51,arena_home_page_hero_and_templates.dart,Của tôi | Công cụ | Open Arena | Điểm Arena · thách đấu · hoàn thành,context.goHaptic,AppRoutePaths.arenaMy,/arena/my,MyArenaPage (/arena/my),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,105,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaGuide,/arena/guide,ArenaGuidePage (/arena/guide),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,106,arena_home_page_hero_and_templates.dart,,context.goHaptic,'${AppRoutePaths.rewards}?tab=arena',/rewards?tab=arena,RewardsHubPage (/rewards),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,109,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaLeaderboard,/arena/leaderboard,ArenaLeaderboardPage (/arena/leaderboard),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,113,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaMy,/arena/my,MyArenaPage (/arena/my),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,120,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaStudio,/arena/studio,ArenaStudioPage (/arena/studio),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,132,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaGuide,/arena/guide,ArenaGuidePage (/arena/guide),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,133,arena_home_page_hero_and_templates.dart,,context.goHaptic,'${AppRoutePaths.rewards}?tab=arena',/rewards?tab=arena,RewardsHubPage (/rewards),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,136,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaLeaderboard,/arena/leaderboard,ArenaLeaderboardPage (/arena/leaderboard),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,140,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaMy,/arena/my,MyArenaPage (/arena/my),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,147,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaMode(id),/arena/mode/<id>,ArenaModeDetailPage (/arena/mode/:modeId),
