name,file_count,files
"_FooterNote",15,"lib/features/earn_staking/presentation/pages/staking/staking_data_export_page.dart; lib/features/earn_staking/presentation/pages/staking/staking_emergency_actions_page.dart; lib/features/earn_staking/presentation/widgets/staking/staking_analytics_chart_shared.dart; lib/features/earn_staking/presentation/widgets/staking/staking_audit_reports_bounty_common.dart; lib/features/earn_staking/presentation/widgets/staking/staking_auto_compound_overview.dart; lib/features/earn_staking/presentation/widgets/staking/staking_community_governance_page_common.dart; lib/features/earn_staking/presentation/widgets/staking/staking_contingency_plan_support_sections.dart; lib/features/earn_staking/presentation/widgets/staking/staking_history_detail_list.dart; lib/features/earn_staking/presentation/widgets/staking/staking_notifications_page_common.dart; lib/features/earn_staking/presentation/widgets/staking/staking_proof_of_reserves_common.dart; lib/features/earn_staking/presentation/widgets/staking/staking_regulatory_framework_sheet_common.dart; lib/features/earn_staking/presentation/widgets/staking/staking_risk_dashboard_page_common.dart; lib/features/earn_staking/presentation/widgets/staking/staking_social_feed_page_common.dart; lib/features/earn_staking/presentation/widgets/staking/staking_transaction_reporting_sheet_widgets.dart; lib/features/earn_staking/presentation/widgets/staking/staking_validator_health_monitor_page_common.dart"
"_Hero",4,"lib/features/p2p_marketplace/presentation/pages/hub/p2p_express_confirm_page.dart; lib/features/p2p_marketplace/presentation/pages/hub/p2p_notifications_settings_page.dart; lib/features/p2p_security/presentation/pages/security/p2p_blacklist_add_page.dart; lib/features/p2p_security/presentation/pages/security/p2p_e2e_info_page.dart"
"_HeroAction",3,"lib/features/earn_savings/presentation/widgets/savings/savings_dca_summary.dart; lib/features/earn_savings/presentation/widgets/savings/savings_home_hero.dart; lib/features/earn_savings/presentation/widgets/savings/savings_portfolio_hero.dart"
"_HeroCard",9,"lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart; lib/features/earn_savings/presentation/widgets/savings/savings_faq_page_sections.dart; lib/features/earn_savings/presentation/widgets/savings/savings_guide_tutorials.dart; lib/features/earn_savings/presentation/widgets/savings/savings_recommendations_hero.dart; lib/features/earn_staking/presentation/widgets/staking/staking_audit_reports_hero_tabs.dart; lib/features/earn_staking/presentation/widgets/staking/staking_regulatory_framework_hero_licenses.dart; lib/features/launchpad/presentation/widgets/hub/launchpad_home_header_widgets.dart; lib/features/markets/presentation/widgets/research/token_info_tabs_widgets.dart; lib/features/p2p_dispute/presentation/pages/dispute/p2p_dispute_evidence_page.dart"
"_HeroKpi",4,"lib/features/earn_savings/presentation/widgets/savings/savings_home_hero.dart; lib/features/earn_staking/presentation/widgets/staking/staking_dashboard_summary.dart; lib/features/earn_staking/presentation/widgets/staking/staking_earn_hero_tabs.dart; lib/features/predictions/presentation/widgets/hub/predictions_home_highlights.dart"
"_HeroMetric",9,"lib/features/earn_savings/presentation/widgets/savings/savings_backtest_hero.dart; lib/features/earn_savings/presentation/widgets/savings/savings_dca_summary.dart; lib/features/launchpad/presentation/widgets/claim/launchpad_claim_receipt_hero_widgets.dart; lib/features/launchpad/presentation/widgets/hub/launchpad_performance_overview.dart; lib/features/launchpad/presentation/widgets/hub/launchpad_portfolio_hero_tabs.dart; lib/features/launchpad/presentation/widgets/tools/launchpad_staking_hero.dart; lib/features/markets/presentation/pages/hub/market_overview_page_hero_stats_widgets.dart; lib/features/markets/presentation/pages/research/social_signals_page_performance_widgets.dart; lib/features/referral/presentation/pages/referral_home_page_reward_sections.dart"
"_HeroStat",7,"lib/features/discovery/presentation/widgets/topic_hub_header.dart; lib/features/earn_savings/presentation/pages/savings/savings_what_if_page_sections.dart; lib/features/earn_savings/presentation/widgets/savings/savings_autopilot_hero.dart; lib/features/earn_savings/presentation/widgets/savings/savings_ladder_hero.dart; lib/features/earn_savings/presentation/widgets/savings/savings_portfolio_hero.dart; lib/features/referral/presentation/pages/referral_rewards_page_state.dart; lib/features/wallet/presentation/widgets/assets/wallet_dust_converter_hero.dart"
"_HistoryCard",3,"lib/features/dca/presentation/widgets/schedule/dca_smart_rules_cards.dart; lib/features/earn_savings/presentation/widgets/savings/savings_auto_rebalance_history.dart; lib/features/earn_savings/presentation/widgets/savings/savings_export_summary_widgets.dart"
"_HistoryList",5,"lib/features/earn_savings/presentation/widgets/savings/savings_auto_rebalance_history.dart; lib/features/earn_savings/presentation/widgets/savings/savings_dca_history_sheet.dart; lib/features/earn_savings/presentation/widgets/savings/savings_export_summary_widgets.dart; lib/features/earn_staking/presentation/widgets/staking/staking_notifications_page_sections.dart; lib/features/trade/presentation/widgets/convert/convert_page_sections.dart"
"_HistorySection",3,"lib/features/launchpad/presentation/widgets/bridge/launchpad_swap_aggregator_history_settings.dart; lib/features/launchpad/presentation/widgets/tools/launchpad_limit_orders_history_widgets.dart; lib/features/launchpad/presentation/widgets/tools/launchpad_multisig_queue_history.dart"
