category,file,line,owner,sourceWidget,actionSource,trailingKind,icon,classification,canonicalAction,canonicalIcon,needsMigration,notes
"vit_header","flutter_app/lib/features/p2p_orders/presentation/pages/wallet/p2p_wallet_page.dart","97","_P2PWalletPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_orders/presentation/pages/wallet/p2p_wallet_page.dart","105","_P2PWalletPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_orders/presentation/pages/wallet/p2p_wallet_page.dart","118","_P2PWalletPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_orders/presentation/pages/wallet/p2p_wallet_transfer_page.dart","126","_P2PWalletTransferPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_orders/presentation/pages/wallet/p2p_wallet_transfer_page.dart","134","_P2PWalletTransferPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_orders/presentation/pages/wallet/p2p_wallet_transfer_page.dart","156","_P2PWalletTransferPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_orders/presentation/widgets/orders/p2p_order_page_state.dart","25","_P2POrderPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_achievements_page.dart","68","P2PAchievementsPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_achievements_page.dart","76","P2PAchievementsPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_achievements_page.dart","89","P2PAchievementsPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_aml_screening_page.dart","58","P2PAmlScreeningPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_aml_screening_page.dart","66","P2PAmlScreeningPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_aml_screening_page.dart","79","P2PAmlScreeningPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_anti_phishing_code_page.dart","91","_P2PAntiPhishingCodePageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_anti_phishing_code_page.dart","99","_P2PAntiPhishingCodePageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_anti_phishing_code_page.dart","119","_P2PAntiPhishingCodePageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_blacklist_add_page.dart","93","_P2PBlacklistAddPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_blacklist_add_page.dart","101","_P2PBlacklistAddPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_blacklist_add_page.dart","114","_P2PBlacklistAddPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_blacklist_page.dart","91","_P2PBlacklistPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_blacklist_page.dart","99","_P2PBlacklistPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_blacklist_page.dart","117","_P2PBlacklistPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_compliance_overview_page.dart","63","P2PComplianceOverviewPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_compliance_overview_page.dart","71","P2PComplianceOverviewPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_compliance_overview_page.dart","84","P2PComplianceOverviewPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_contribution_history_page.dart","71","_P2PContributionHistoryPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_contribution_history_page.dart","79","_P2PContributionHistoryPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_contribution_history_page.dart","92","_P2PContributionHistoryPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_e2e_info_page.dart","71","P2PE2EInfoPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_e2e_info_page.dart","79","P2PE2EInfoPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_e2e_info_page.dart","92","P2PE2EInfoPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_fraud_prevention_page.dart","89","_P2PFraudPreventionPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_fraud_prevention_page.dart","97","_P2PFraudPreventionPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_fraud_prevention_page.dart","118","_P2PFraudPreventionPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_large_transaction_justification_page.dart","98","_P2PLargeTransactionJustificationPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_large_transaction_justification_page.dart","106","_P2PLargeTransactionJustificationPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_large_transaction_justification_page.dart","121","_P2PLargeTransactionJustificationPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_login_history_page.dart","82","_P2PLoginHistoryPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_login_history_page.dart","90","_P2PLoginHistoryPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
