file,line,owner,sourceWidget,classification,mode,fallback,highRisk,issue,notes
"flutter_app/lib/features/launchpad/presentation/pages/hub/launchpad_performance_page.dart","100","_LaunchpadPerformancePageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/hub/launchpad_portfolio_page.dart","81","_LaunchpadPortfolioPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/hub/launchpad_receipt_page.dart","69","LaunchpadReceiptPage","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpadPortfolio","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/hub/launchpad_receipt_page.dart","87","LaunchpadReceiptPage","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpadPortfolio","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/hub/launchpad_receipt_page.dart","114","LaunchpadReceiptPage","VitHeader","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/tools/launchpad_abi_diff_page.dart","91","_LaunchpadAbiDiffPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/tools/launchpad_address_book_page.dart","100","_LaunchpadAddressBookPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/tools/launchpad_dca_builder_page.dart","111","_LaunchpadDcaBuilderPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/tools/launchpad_event_log_page.dart","104","_LaunchpadEventLogPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/tools/launchpad_event_log_page.dart","119","_LaunchpadEventLogPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/tools/launchpad_event_log_page.dart","149","_LaunchpadEventLogPageState","VitHeader","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/tools/launchpad_gas_tracker_page.dart","109","_LaunchpadGasTrackerPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/tools/launchpad_gas_tracker_page.dart","124","_LaunchpadGasTrackerPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/tools/launchpad_gas_tracker_page.dart","157","_LaunchpadGasTrackerPageState","VitHeader","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/tools/launchpad_limit_orders_page.dart","127","_LaunchpadLimitOrdersPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
