module,file,call_site_family,variant,count,height_tier_px,width_mode,local_duplicate_classes,compliance,notes
auth,auth/presentation/phone/pages/register_page.dart,VitSegmentedChoice,primaryAccent,3,44,equal_expanded,-,pass,
auth,auth/presentation/tablet/pages/register_tablet_page.dart,VitSegmentedChoice,primaryAccent,3,44,equal_expanded,-,pass,
cross_module,cross_module/presentation/phone/pages/tax_report_center_generate_and_reports_tabs.dart,VitChoicePill,chip,2,44,full_or_hug,-,pass,
cross_module,cross_module/presentation/phone/pages/tax_report_center_generate_tab.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
cross_module,cross_module/presentation/widgets/cross_module_analytics_tabs.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
cross_module,cross_module/presentation/widgets/smart_alert_center_tabs.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
cross_module,cross_module/presentation/widgets/unified_portfolio_tabs.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
dca,dca/presentation/phone/pages/hub/dca_overview_demo.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
dca,dca/presentation/phone/pages/hub/dca_page_plans_and_tools.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
dca,dca/presentation/phone/pages/portfolio/dca_multi_asset_page_setup.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
dca,dca/presentation/phone/pages/portfolio/dca_multi_asset_page_setup.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
dca,dca/presentation/phone/pages/portfolio/dca_rebalance_config_page_allocation_strategy.dart,VitChoicePill,chip,2,44,full_or_hug,-,pass,
dca,dca/presentation/phone/pages/research/dca_dynamic_amount_page_hero_and_strategy.dart,VitChoicePill,chip,1,44,hug,-,pass,
dca,dca/presentation/widgets/portfolio/dca_performance_compare_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
dca,dca/presentation/widgets/portfolio/dca_portfolio_optimizer_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
dca,dca/presentation/widgets/research/dca_backtester_common.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
dca,dca/presentation/widgets/research/dca_backtester_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
dca,dca/presentation/widgets/schedule/dca_schedule_strategy_time.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
dca,dca/presentation/widgets/schedule/dca_smart_rules_tabs_stats.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
dev,dev/presentation/phone/pages/missing_screens_showcase_page.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
dev,dev/presentation/widgets/design_system_playground.dart,VitChoicePill,chip,2,44,hug,-,pass,
dev,dev/presentation/widgets/dev_state_bar.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
dev,dev/presentation/widgets/route_checker_page_sections.dart,VitChoicePill,chip,1,44,hug,-,pass,
discovery,discovery/presentation/widgets/topic_hub_header.dart,VitChoicePill,chip,1,44,hug,-,pass,
discovery,discovery/presentation/widgets/unified_search_shell.dart,VitChoicePill,chip,1,44,hug,-,pass,
earn_savings,earn_savings/presentation/phone/pages/savings/earn_portfolio_page.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
earn_savings,earn_savings/presentation/phone/pages/savings/savings_analytics_page.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn_savings,earn_savings/presentation/phone/pages/savings/savings_auto_rebalance_page.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn_savings,earn_savings/presentation/phone/pages/savings/savings_what_if_page_sections.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
